#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -14.1239    -14.1239           0
           2     -14.231    -14.1775    0.037869
           3    -14.4025    -14.2525   0.0662497
           4    -14.6373    -14.3487   0.0969986
           5    -14.9354     -14.466    0.130527
           6    -15.2953    -14.6042     0.16658
           7    -15.7123    -14.7625    0.204607
           8    -16.1773    -14.9394    0.243754
           9    -16.6713    -15.1318    0.282602
          10    -17.1622    -15.3349    0.319047
          11    -17.5903    -15.5399     0.34978
          12     -17.855    -15.7328    0.370031
          13    -17.7934    -15.8913    0.373978
          14    -17.1759    -15.9831    0.358345
          15    -15.7838    -15.9698    0.334701
          16    -13.6882    -15.8272    0.342817
          17    -11.6322    -15.5804    0.401766
          18    -10.8044    -15.3151    0.458771
          19    -11.6636    -15.1229     0.47317
          20    -13.4123    -15.0374    0.457177
          21    -14.9859    -15.0349    0.435413
          22    -15.9199    -15.0752    0.417475
          23    -16.2354    -15.1256    0.402361
          24    -16.1188     -15.167    0.387718
          25    -16.0132    -15.2008    0.373684
          26    -16.4293    -15.2481    0.362286
          27    -17.2012    -15.3204    0.356017
          28    -17.8265    -15.4099    0.354374
          29    -18.2028    -15.5062    0.354999
          30    -18.3959    -15.6026    0.355994
          31    -18.3189    -15.6902     0.35513
          32    -17.9227    -15.7599    0.350819
          33    -17.3699    -15.8087    0.343563
          34    -16.9099    -15.8411    0.334981
          35    -16.6678    -15.8647    0.326242
          36    -16.6077    -15.8854    0.317832
          37    -16.6108     -15.905    0.309846
          38     -16.584    -15.9229    0.302207
          39    -16.5441    -15.9388    0.294878
          40    -16.5432    -15.9539    0.287892
          41     -16.568    -15.9689     0.28126
          42    -16.6016    -15.9839    0.274967
          43    -16.6613    -15.9997    0.269023
          44    -16.7157     -16.016      0.2634
          45    -16.6192    -16.0294    0.257888
          46    -16.2372    -16.0339    0.252321
          47    -15.7025    -16.0268    0.247051
          48    -15.3596    -16.0129    0.242295
          49    -15.1655    -15.9956    0.237967
          50    -14.9117     -15.974    0.234193
          51    -14.6591    -15.9482    0.231016
          52     -14.559    -15.9215    0.228112
          53    -14.6502    -15.8975    0.225066
          54    -14.8489    -15.8781    0.221734
          55    -15.0679    -15.8633    0.218191
          56    -15.2504    -15.8524    0.214569
          57    -15.3457    -15.8435    0.210989
          58     -15.324    -15.8345    0.207541
          59    -15.1924    -15.8237    0.204309
          60    -14.9881    -15.8097    0.201378
          61    -14.7762    -15.7928    0.198788
          62    -14.6197    -15.7739     0.19648
          63    -14.5351    -15.7542    0.194343
          64    -14.5193    -15.7349    0.192262
          65     -14.562    -15.7169    0.190149
          66    -14.5957    -15.6999    0.188025
          67    -14.5246    -15.6823    0.186035
          68    -14.2812    -15.6617    0.184437
          69    -13.8643    -15.6357    0.183594
          70    -13.3946    -15.6037    0.183742
          71     -13.062    -15.5679    0.184608
          72    -12.9271    -15.5312    0.185652
          73    -12.8736    -15.4948    0.186644
          74    -12.7909    -15.4582    0.187664
          75    -12.7412     -15.422    0.188627
          76    -12.8288    -15.3879    0.189206
          77    -13.0201    -15.3571    0.189231
          78    -13.2377      -15.33    0.188746
          79    -13.3939    -15.3055    0.187941
          80    -13.3565    -15.2811    0.187164
          81    -13.0377    -15.2534    0.186891
          82    -12.6481    -15.2216    0.187293
          83    -12.6099    -15.1902    0.187661
          84    -12.7982    -15.1617    0.187575
          85    -12.8745    -15.1348    0.187289
          86    -12.8161    -15.1078    0.187041
          87    -12.6965    -15.0801    0.186934
          88    -12.5678    -15.0516    0.186977
          89    -12.4643    -15.0225    0.187122
          90    -12.3629    -14.9929    0.187362
          91    -12.2062    -14.9623    0.187789
          92     -11.989      -14.93    0.188508
          93      -11.77     -14.896    0.189519
          94    -11.6105    -14.8611    0.190698
          95    -11.5383    -14.8261    0.191872
          96    -11.5536     -14.792    0.192878
          97    -11.6217    -14.7593    0.193639
          98    -11.6847    -14.7279    0.194188
          99     -11.702    -14.6974    0.194617
         100     -11.667    -14.6671    0.195016
         101    -11.5983    -14.6367    0.195437
         102    -11.5186    -14.6061    0.195897
         103    -11.4361    -14.5753    0.196398
         104    -11.3457    -14.5443     0.19695
         105    -11.2455    -14.5129    0.197564
         106    -11.1472    -14.4811    0.198235
         107     -11.067    -14.4492    0.198934
         108    -11.0061    -14.4173     0.19963
         109    -10.9489    -14.3855    0.200318
         110    -10.8807    -14.3536    0.201015
         111    -10.8018    -14.3216    0.201735
         112    -10.7257    -14.2895    0.202473
         113    -10.6681    -14.2575    0.203201
         114    -10.6341    -14.2257    0.203889
         115    -10.6084    -14.1943    0.204528
         116    -10.5587    -14.1629    0.205152
         117    -10.4548    -14.1312    0.205833
         118    -10.3021    -14.0988     0.20663
         119    -10.1684    -14.0657    0.207517
         120    -10.1309     -14.033    0.208362
         121    -10.1717     -14.001    0.209069
         122    -10.2037    -13.9699     0.20966
         123    -10.1797    -13.9391    0.210207
         124    -10.1096    -13.9082    0.210769
         125    -10.0193    -13.8771    0.211366
         126    -9.92063    -13.8457    0.212008
         127    -9.80629    -13.8139    0.212711
         128     -9.6653    -13.7815    0.213505
         129    -9.51116    -13.7484      0.2144
         130    -9.39283    -13.7149    0.215353
         131    -9.35785    -13.6816    0.216262
         132    -9.40088    -13.6492    0.217042
         133    -9.46553    -13.6177    0.217677
         134    -9.48951    -13.5869    0.218222
         135    -9.43713    -13.5562     0.21876
         136    -9.30639    -13.5249    0.219372
         137    -9.12955    -13.4929    0.220104
         138      -8.967    -13.4601    0.220939
         139    -8.87738    -13.4271    0.221796
         140    -8.87439    -13.3946    0.222583
         141    -8.91846    -13.3628    0.223257
         142    -8.95299    -13.3318    0.223834
         143    -8.94474    -13.3011    0.224361
         144    -8.88922    -13.2705    0.224885
         145    -8.79058    -13.2396    0.225447
         146    -8.64686    -13.2081    0.226086
         147    -8.46934    -13.1759    0.226835
         148    -8.31524     -13.143    0.227667
         149    -8.23635    -13.1101    0.228509
         150    -8.19231    -13.0773    0.229325
         151    -8.11603    -13.0445    0.230148
         152    -8.01649    -13.0114    0.230999
         153    -7.95327    -12.9783    0.231843
         154    -7.96698    -12.9458     0.23261
         155    -8.04722    -12.9142    0.233246
         156    -8.14906    -12.8836    0.233742
         157    -8.22854     -12.854    0.234127
         158    -8.26252    -12.8249    0.234441
         159     -8.2485    -12.7961    0.234727
         160    -8.19772    -12.7674    0.235013
         161    -8.12734    -12.7386    0.235314
         162    -8.04539    -12.7096    0.235638
         163    -7.94317    -12.6804    0.235999
         164     -7.8087    -12.6507    0.236423
         165     -7.6579    -12.6204    0.236918
         166    -7.54751    -12.5898    0.237454
         167    -7.53251    -12.5596    0.237955
         168    -7.60137      -12.53    0.238362
         169    -7.68644    -12.5014    0.238668
         170    -7.72875    -12.4733     0.23891
         171     -7.7052    -12.4454    0.239134
         172    -7.61506    -12.4173    0.239387
         173    -7.46914    -12.3887    0.239706
         174    -7.30117    -12.3595    0.240105
         175    -7.17984    -12.3299    0.240551
         176    -7.16142    -12.3005     0.24097
         177    -7.22486    -12.2719    0.241308
         178     -7.3094     -12.244    0.241558
         179    -7.37968    -12.2168    0.241732
         180    -7.42465    -12.1902    0.241851
         181    -7.43739    -12.1639    0.241936
         182    -7.41466    -12.1378     0.24201
         183    -7.36157    -12.1117    0.242091
         184     -7.2912    -12.0855    0.242188
         185    -7.21902    -12.0592    0.242304
         186    -7.15656    -12.0329     0.24243
         187    -7.10761    -12.0065     0.24256
         188    -7.06842    -11.9803    0.242688
         189    -7.03161    -11.9541    0.242812
         190    -6.99106     -11.928    0.242935
         191    -6.94487    -11.9019     0.24306
         192    -6.89591    -11.8758    0.243189
         193    -6.84837    -11.8497     0.24332
         194    -6.80273    -11.8237    0.243452
         195    -6.75439    -11.7977    0.243588
         196    -6.70154    -11.7717    0.243729
         197    -6.64864    -11.7457    0.243875
         198    -6.60071    -11.7197    0.244024
         199    -6.55713    -11.6938    0.244173
         200     -6.5152    -11.6679    0.244321
         201    -6.47351    -11.6421    0.244468
         202    -6.43145    -11.6163    0.244615
         203    -6.38474    -11.5905    0.244764
         204    -6.32144    -11.5647    0.244923
         205    -6.22071    -11.5386    0.245112
         206    -6.06713     -11.512    0.245357
         207    -5.88756    -11.4849    0.245671
         208    -5.75976    -11.4573    0.246027
         209    -5.72358    -11.4299    0.246375
         210    -5.72882    -11.4028    0.246693
         211    -5.72404    -11.3758    0.246987
         212    -5.71082    -11.3491    0.247264
         213    -5.71142    -11.3227    0.247515
         214    -5.73522    -11.2965    0.247732
         215    -5.77387    -11.2709    0.247908
         216    -5.81131    -11.2456    0.248045
         217    -5.83532    -11.2207    0.248152
         218    -5.84218     -11.196    0.248237
         219    -5.83459    -11.1715    0.248308
         220     -5.8175    -11.1472    0.248369
         221    -5.79602    -11.1229    0.248423
         222    -5.77311    -11.0988     0.24847
         223    -5.75012    -11.0749    0.248511
         224    -5.72688     -11.051    0.248545
         225    -5.70156    -11.0272    0.248575
         226    -5.67123    -11.0035    0.248603
         227    -5.63194    -10.9799    0.248631
         228    -5.57947    -10.9562    0.248666
         229    -5.51158    -10.9324    0.248714
         230    -5.43247    -10.9085     0.24878
         231    -5.35763    -10.8844    0.248861
         232    -5.30824    -10.8604    0.248946
         233    -5.29532    -10.8365    0.249021
         234    -5.30846    -10.8129    0.249075
         235    -5.32657    -10.7896    0.249106
         236    -5.33531    -10.7664    0.249121
         237    -5.33346    -10.7435    0.249122
         238    -5.32786    -10.7208    0.249112
         239    -5.32607    -10.6982    0.249091
         240    -5.33233    -10.6758    0.249054
         241    -5.34668    -10.6537       0.249
         242      -5.366    -10.6319    0.248928
         243    -5.38676    -10.6103    0.248838
         244     -5.4054     -10.589    0.248731
         245    -5.41939    -10.5679    0.248609
         246    -5.42585     -10.547    0.248475
         247    -5.42099    -10.5262    0.248335
         248    -5.39992    -10.5055    0.248192
         249    -5.36023    -10.4849    0.248054
         250    -5.30996    -10.4642    0.247924
         251    -5.27509    -10.4435    0.247797
         252    -5.28504     -10.423    0.247657
         253    -5.33624    -10.4029    0.247493
         254    -5.38311    -10.3832    0.247307
         255     -5.3708    -10.3635    0.247117
         256    -5.26604    -10.3436    0.246952
         257    -5.07803    -10.3231     0.24684
         258    -4.87908     -10.302    0.246783
         259    -4.78515    -10.2807    0.246748
         260     -4.8651    -10.2599    0.246677
         261    -5.07272      -10.24    0.246531
         262    -5.29967    -10.2211     0.24631
         263    -5.47032    -10.2031    0.246035
         264     -5.5693    -10.1855    0.245728
         265    -5.61367    -10.1683    0.245406
         266    -5.62622    -10.1512    0.245077
         267    -5.62456    -10.1342    0.244745
         268    -5.61985    -10.1174     0.24441
         269    -5.61841    -10.1007    0.244073
         270     -5.6227    -10.0841    0.243732
         271    -5.63249    -10.0677    0.243386
         272    -5.64587    -10.0514    0.243033
         273    -5.65969    -10.0353    0.242675
         274    -5.66982    -10.0194    0.242312
         275    -5.67112    -10.0036    0.241946
         276    -5.65739    -9.98783    0.241581
         277    -5.62128    -9.97206    0.241223
         278    -5.55582    -9.95618    0.240877
         279    -5.45855    -9.94006    0.240553
         280    -5.33902    -9.92362    0.240254
         281      -5.223     -9.9069    0.239981
         282    -5.14506    -9.89001    0.239723
         283    -5.12713    -9.87318    0.239466
         284    -5.16244    -9.85659    0.239197
         285    -5.22612    -9.84034    0.238909
         286    -5.29599    -9.82446    0.238601
         287     -5.3614     -9.8089    0.238276
         288     -5.4192    -9.79366    0.237936
         289    -5.46887     -9.7787    0.237583
         290    -5.51022    -9.76398    0.237219
         291    -5.54106    -9.74947    0.236847
         292    -5.55808    -9.73511    0.236471
         293    -5.55649    -9.72085    0.236093
         294    -5.53116     -9.7066     0.23572
         295    -5.47822    -9.69227    0.235356
         296    -5.39812    -9.67776    0.235008
         297    -5.29991    -9.66302    0.234678
         298    -5.20287    -9.64805    0.234368
         299    -5.12796    -9.63294    0.234071
         300    -5.08339    -9.61777    0.233781
         301    -5.06208    -9.60264    0.233494
         302    -5.05184    -9.58757    0.233207
         303    -5.04392    -9.57257    0.232919
         304    -5.03485    -9.55764     0.23263
         305    -5.02642    -9.54279    0.232341
         306    -5.02611    -9.52803     0.23205
         307     -5.0404    -9.51341    0.231755
         308    -5.06805    -9.49898    0.231451
         309    -5.09891    -9.48474     0.23114
         310    -5.12174    -9.47066    0.230822
         311     -5.1308    -9.45671    0.230501
         312    -5.12579    -9.44283     0.23018
         313    -5.10959    -9.42898    0.229861
         314    -5.08737    -9.41516    0.229544
         315    -5.06854    -9.40136     0.22923
         316     -5.0656    -9.38764    0.228915
         317    -5.08685    -9.37407    0.228594
         318    -5.12847    -9.36072    0.228265
         319    -5.17764    -9.34761    0.227926
         320      -5.223    -9.33472    0.227578
         321    -5.25996    -9.32202    0.227222
         322     -5.2879    -9.30949    0.226862
         323    -5.30573     -9.2971    0.226498
         324    -5.30994    -9.28479    0.226133
         325    -5.29459    -9.27251     0.22577
         326    -5.25231    -9.26018    0.225414
         327    -5.17535    -9.24769    0.225071
         328    -5.06002    -9.23492    0.224746
         329    -4.91959    -9.22181    0.224446
         330    -4.79631     -9.2084    0.224166
         331    -4.74418    -9.19491    0.223894
         332    -4.78172    -9.18162    0.223614
         333     -4.8824    -9.16871    0.223315
         334    -5.01129    -9.15626    0.222993
         335    -5.14193    -9.14428    0.222649
         336    -5.25266    -9.13269    0.222287
         337    -5.32868    -9.12141    0.221914
         338    -5.37009    -9.11031    0.221535
         339    -5.39293    -9.09934    0.221152
         340    -5.41941    -9.08852    0.220767
         341    -5.46157    -9.07788    0.220375
         342    -5.51395    -9.06746    0.219977
         343    -5.56254    -9.05724    0.219573
         344    -5.59735    -9.04718    0.219165
         345    -5.61529    -9.03724    0.218755
         346    -5.61816    -9.02736    0.218346
         347    -5.60759     -9.0175    0.217939
         348    -5.58387    -9.00763    0.217536
         349    -5.54578    -8.99771    0.217139
         350    -5.49304     -8.9877    0.216749
         351    -5.42951    -8.97756    0.216369
         352    -5.36438     -8.9673    0.215997
         353    -5.30849    -8.95693    0.215634
         354    -5.26787    -8.94651    0.215277
         355    -5.24376    -8.93608    0.214923
         356    -5.23716    -8.92569     0.21457
         357    -5.24996     -8.9154    0.214216
         358     -5.2819    -8.90525    0.213858
