#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     15.9053     15.9053           0
           2     15.8987      15.902  0.00231896
           3     15.8915     15.8985  0.00324841
           4      15.885     15.8951  0.00380117
           5     15.8788     15.8918  0.00421549
           6     15.8729     15.8887  0.00454377
           7     15.8677     15.8857  0.00478207
           8     15.8635     15.8829  0.00492296
           9     15.8621     15.8806   0.0048909
          10     15.8643      15.879  0.00466457
          11     15.8741     15.8785  0.00426168
          12     15.8964       15.88  0.00415975
          13     15.9382     15.8845  0.00576555
          14     16.0045     15.8931   0.0098414
          15     16.0864     15.9059   0.0154712
          16     16.1364     15.9203    0.020119
          17     16.0799     15.9297   0.0210104
          18     15.9149     15.9289   0.0198594
          19     15.7652     15.9203    0.020599
          20     15.7291     15.9107   0.0216737
          21     15.7788     15.9044   0.0215333
          22     15.8464     15.9018   0.0207157
          23      15.902     15.9018    0.019815
          24     15.9316     15.9031   0.0190282
          25     15.9029     15.9031    0.018267
          26     15.8446     15.9008   0.0177021
          27     15.8342     15.8983   0.0172177
          28     15.8612      15.897   0.0166538
          29     15.8819     15.8965   0.0160877
          30     15.9022     15.8967   0.0155526
          31     15.9347     15.8979   0.0150992
          32     15.9632     15.8999   0.0147644
          33     15.9674      15.902   0.0144576
          34     15.9497     15.9034   0.0141004
          35     15.9277     15.9041   0.0137146
          36     15.9142     15.9044   0.0133365
          37     15.9135     15.9046   0.0129783
          38     15.9179      15.905   0.0126415
          39     15.9165     15.9053   0.0123208
          40     15.9124     15.9054   0.0120141
          41     15.9115     15.9056   0.0117219
          42     15.9102     15.9057   0.0114434
          43     15.9074     15.9057   0.0111773
          44     15.9131     15.9059   0.0109245
          45     15.9364     15.9066   0.0107027
          46     15.9655     15.9079   0.0105464
          47     15.9646     15.9091   0.0103909
          48     15.9385     15.9097   0.0101925
          49     15.9364     15.9102  0.00999911
          50     15.9439     15.9109  0.00982177
          51     15.9365     15.9114  0.00964205
          52     15.9169     15.9115  0.00945722
          53     15.9004     15.9113   0.0092811
          54     15.8945      15.911  0.00911446
          55     15.8956     15.9107  0.00895305
          56     15.9019     15.9105  0.00879455
          57     15.9129     15.9106  0.00864036
          58     15.9252     15.9108  0.00849504
          59     15.9351     15.9113  0.00836103
          60       15.94     15.9117  0.00823542
          61     15.9377     15.9122   0.0081114
          62     15.9309     15.9125   0.0079862
          63     15.9242     15.9126  0.00786161
          64     15.9176     15.9127  0.00773915
          65      15.914     15.9127  0.00762011
          66     15.9196     15.9128  0.00750536
          67      15.934     15.9132      0.0074
          68     15.9532     15.9138  0.00731451
          69     15.9678     15.9145  0.00725033
          70     15.9648     15.9153  0.00718223
          71     15.9453     15.9157  0.00709349
          72      15.929     15.9159  0.00699738
          73     15.9282      15.916  0.00690356
          74     15.9318     15.9162  0.00681355
          75     15.9227     15.9163  0.00672325
          76     15.9089     15.9162  0.00663551
          77     15.9026     15.9161   0.0065517
          78     15.9035     15.9159  0.00646968
          79     15.9153     15.9159  0.00638779
          80      15.941     15.9162  0.00631563
          81     15.9672     15.9168  0.00626901
          82     15.9537     15.9173  0.00620865
          83     15.9125     15.9172  0.00613411
          84     15.9095     15.9171  0.00606177
          85     15.9263     15.9172  0.00599141
          86     15.9367     15.9175    0.005926
          87     15.9406     15.9177  0.00586386
          88     15.9399      15.918  0.00580263
          89     15.9375     15.9182   0.0057416
          90     15.9404     15.9184  0.00568308
          91      15.948     15.9188  0.00562987
          92     15.9525     15.9191  0.00558064
          93     15.9498     15.9195  0.00553037
          94     15.9424     15.9197  0.00547692
          95     15.9336     15.9199  0.00542121
          96     15.9259     15.9199  0.00536511
          97     15.9235       15.92  0.00530993
          98     15.9267       15.92   0.0052562
          99     15.9325     15.9202  0.00520462
         100     15.9377     15.9203  0.00515552
         101     15.9402     15.9205  0.00510823
         102      15.941     15.9207  0.00506207
         103     15.9417     15.9209  0.00501701
         104     15.9431     15.9211  0.00497331
         105     15.9442     15.9214  0.00493078
         106     15.9436     15.9216   0.0048887
         107     15.9417     15.9218  0.00484665
         108     15.9408     15.9219  0.00480499
         109     15.9417     15.9221  0.00476432
         110     15.9434     15.9223  0.00472493
         111     15.9444     15.9225  0.00468654
         112     15.9436     15.9227  0.00464849
         113     15.9416     15.9229  0.00461038
         114     15.9399      15.923  0.00457236
         115     15.9407     15.9232  0.00453518
         116      15.945     15.9234  0.00449998
         117     15.9513     15.9236  0.00446784
         118     15.9544     15.9239  0.00443759
         119     15.9485     15.9241  0.00440515
         120      15.938     15.9242  0.00436997
         121     15.9342     15.9243  0.00433464
         122     15.9386     15.9244   0.0043007
         123     15.9448     15.9245  0.00426893
         124     15.9486     15.9247  0.00423891
         125       15.95     15.9249  0.00420982
         126     15.9512     15.9252  0.00418158
         127     15.9538     15.9254  0.00415475
         128     15.9568     15.9256  0.00412955
         129     15.9566     15.9259  0.00410452
         130     15.9508     15.9261  0.00407745
         131      15.942     15.9262  0.00404815
         132     15.9365     15.9263  0.00401824
         133     15.9377     15.9263  0.00398895
         134     15.9443     15.9265  0.00396144
         135      15.953     15.9267  0.00393697
         136     15.9602     15.9269  0.00391575
         137     15.9627     15.9272  0.00389587
         138     15.9588     15.9274  0.00387435
         139     15.9502     15.9276  0.00384995
         140     15.9428     15.9277  0.00382399
         141      15.941     15.9278  0.00379804
         142     15.9444     15.9279  0.00377309
         143     15.9495      15.928  0.00374972
         144     15.9542     15.9282  0.00372808
         145     15.9588     15.9284  0.00370832
         146     15.9635     15.9287   0.0036907
         147     15.9654     15.9289  0.00367404
         148     15.9599     15.9291  0.00365517
         149     15.9528     15.9293   0.0036341
         150     15.9532     15.9295  0.00361338
         151     15.9578     15.9296  0.00359431
         152      15.958     15.9298  0.00357548
         153     15.9521       15.93  0.00355507
         154     15.9442     15.9301  0.00353318
         155     15.9394     15.9301  0.00351089
         156     15.9396     15.9302  0.00348891
         157     15.9436     15.9303  0.00346773
         158      15.949     15.9304   0.0034478
         159     15.9536     15.9305   0.0034292
         160     15.9567     15.9307  0.00341166
         161     15.9581     15.9309  0.00339473
         162     15.9597      15.931  0.00337842
         163     15.9626     15.9312  0.00336322
         164      15.966     15.9315  0.00334937
         165     15.9659     15.9317  0.00333557
         166      15.959     15.9318  0.00331955
         167     15.9489     15.9319  0.00330124
         168     15.9433      15.932  0.00328228
         169      15.945     15.9321  0.00326376
         170     15.9511     15.9322  0.00324648
         171     15.9582     15.9323  0.00323105
         172     15.9648     15.9325  0.00321777
         173     15.9696     15.9327  0.00320628
         174     15.9693      15.933  0.00319472
         175     15.9615     15.9331  0.00318062
         176     15.9509     15.9332  0.00316415
         177     15.9456     15.9333  0.00314705
         178     15.9461     15.9334  0.00313019
         179     15.9486     15.9334  0.00311386
         180     15.9516     15.9335  0.00309819
         181     15.9552     15.9337  0.00308337
         182     15.9588     15.9338  0.00306953
         183     15.9616      15.934   0.0030565
         184     15.9627     15.9341  0.00304388
         185     15.9624     15.9343  0.00303128
         186     15.9614     15.9344  0.00301848
         187     15.9603     15.9345   0.0030055
         188     15.9597     15.9347  0.00299249
         189     15.9599     15.9348  0.00297964
         190     15.9606     15.9349  0.00296704
         191     15.9612     15.9351  0.00295469
         192     15.9615     15.9352   0.0029425
         193     15.9616     15.9354  0.00293043
         194     15.9617     15.9355  0.00291847
         195     15.9622     15.9356  0.00290671
         196     15.9626     15.9358  0.00289513
         197     15.9625     15.9359  0.00288361
         198     15.9619      15.936  0.00287205
         199     15.9618     15.9362  0.00286053
         200     15.9619     15.9363  0.00284913
         201     15.9621     15.9364  0.00283785
         202     15.9624     15.9366  0.00282672
         203     15.9634     15.9367  0.00281588
         204      15.966     15.9368  0.00280573
         205     15.9709      15.937  0.00279697
         206     15.9762     15.9372  0.00278986
         207     15.9759     15.9374  0.00278265
         208     15.9674     15.9375  0.00277302
         209     15.9595     15.9376  0.00276175
         210     15.9586     15.9377  0.00275041
         211     15.9605     15.9378  0.00273948
         212     15.9605     15.9379  0.00272864
         213     15.9584      15.938  0.00271752
         214     15.9563     15.9381  0.00270616
         215     15.9556     15.9382  0.00269479
         216     15.9564     15.9383  0.00268363
         217     15.9582     15.9384  0.00267283
         218       15.96     15.9385   0.0026624
         219     15.9614     15.9386   0.0026523
         220     15.9623     15.9387  0.00264243
         221     15.9627     15.9388  0.00263271
         222     15.9629     15.9389  0.00262308
         223     15.9631      15.939  0.00261356
         224     15.9633     15.9391  0.00260413
         225     15.9637     15.9392  0.00259485
         226     15.9645     15.9393  0.00258578
         227     15.9658     15.9395  0.00257702
         228     15.9674     15.9396  0.00256863
         229      15.969     15.9397  0.00256063
         230     15.9698     15.9398  0.00255282
         231     15.9684       15.94  0.00254476
         232     15.9651     15.9401   0.0025361
         233     15.9616     15.9402   0.0025269
         234       15.96     15.9402  0.00251752
         235     15.9603     15.9403  0.00250826
         236     15.9617     15.9404  0.00249926
         237     15.9627     15.9405  0.00249048
         238     15.9628     15.9406  0.00248178
         239     15.9622     15.9407  0.00247304
         240     15.9615     15.9408  0.00246425
         241     15.9608     15.9409  0.00245543
         242     15.9606      15.941  0.00244663
         243     15.9606      15.941   0.0024379
         244     15.9611     15.9411  0.00242929
         245     15.9619     15.9412  0.00242085
         246      15.963     15.9413  0.00241263
         247     15.9644     15.9414  0.00240468
         248     15.9663     15.9415  0.00239708
         249     15.9682     15.9416  0.00238985
         250     15.9684     15.9417   0.0023827
         251     15.9655     15.9418  0.00237508
         252     15.9604     15.9419  0.00236681
         253     15.9579     15.9419   0.0023583
         254     15.9611      15.942  0.00235022
         255      15.969     15.9421  0.00234339
         256     15.9787     15.9423  0.00233859
         257      15.985     15.9424  0.00233541
         258     15.9812     15.9426  0.00233118
         259      15.966     15.9427  0.00232394
         260     15.9489     15.9427  0.00231513
         261     15.9407     15.9427  0.00230627
         262     15.9433     15.9427  0.00229747
         263     15.9506     15.9427  0.00228893
         264     15.9574     15.9428  0.00228094
         265     15.9619     15.9428  0.00227347
         266     15.9641     15.9429  0.00226633
         267      15.965      15.943  0.00225935
         268     15.9652     15.9431  0.00225243
         269     15.9648     15.9432  0.00224551
         270     15.9643     15.9432  0.00223856
         271     15.9639     15.9433   0.0022316
         272     15.9637     15.9434  0.00222466
         273     15.9639     15.9435  0.00221778
         274     15.9646     15.9435  0.00221103
         275     15.9659     15.9436  0.00220449
         276     15.9678     15.9437  0.00219824
         277     15.9703     15.9438   0.0021924
         278     15.9733     15.9439  0.00218708
         279     15.9763      15.944  0.00218232
         280     15.9777     15.9442  0.00217784
         281     15.9758     15.9443  0.00217301
         282     15.9707     15.9444  0.00216732
         283     15.9646     15.9444  0.00216084
         284     15.9603     15.9445  0.00215396
         285     15.9587     15.9445  0.00214698
         286     15.9588     15.9446  0.00214005
         287     15.9596     15.9446  0.00213324
         288     15.9605     15.9447  0.00212654
         289     15.9615     15.9448  0.00211997
         290     15.9623     15.9448  0.00211352
         291     15.9635     15.9449  0.00210724
         292     15.9652     15.9449  0.00210116
         293     15.9673      15.945  0.00209538
         294       15.97     15.9451  0.00208998
         295      15.973     15.9452  0.00208504
         296     15.9756     15.9453  0.00208052
         297     15.9768     15.9454  0.00207622
         298     15.9757     15.9455  0.00207174
         299     15.9728     15.9456  0.00206683
         300       15.97     15.9457  0.00206153
         301     15.9683     15.9458  0.00205605
         302     15.9677     15.9458  0.00205053
         303     15.9678     15.9459  0.00204503
         304     15.9678      15.946  0.00203957
         305     15.9676      15.946  0.00203411
         306     15.9664     15.9461  0.00202856
         307      15.965     15.9462  0.00202288
         308     15.9641     15.9462  0.00201714
         309     15.9643     15.9463  0.00201147
         310     15.9656     15.9464  0.00200594
         311      15.967     15.9464  0.00200059
         312     15.9683     15.9465   0.0019954
         313     15.9692     15.9466  0.00199035
         314     15.9696     15.9466  0.00198536
         315     15.9687     15.9467   0.0019803
         316     15.9666     15.9468  0.00197503
         317     15.9641     15.9468  0.00196956
         318     15.9627     15.9469    0.001964
         319     15.9626     15.9469  0.00195846
         320     15.9633      15.947  0.00195301
         321     15.9643      15.947  0.00194767
         322     15.9653     15.9471  0.00194244
         323     15.9664     15.9471  0.00193735
         324     15.9679     15.9472  0.00193243
         325     15.9702     15.9473  0.00192777
         326     15.9733     15.9474  0.00192352
         327     15.9771     15.9475  0.00191978
         328     15.9807     15.9476   0.0019166
         329     15.9818     15.9477  0.00191359
         330     15.9775     15.9477  0.00190992
         331     15.9685     15.9478  0.00190519
         332     15.9601     15.9478  0.00189981
         333     15.9554     15.9479  0.00189424
         334     15.9538     15.9479  0.00188865
         335     15.9547     15.9479  0.00188312
         336     15.9576     15.9479  0.00187774
         337     15.9614      15.948  0.00187259
         338     15.9644      15.948  0.00186768
         339     15.9653     15.9481  0.00186286
         340     15.9641     15.9481  0.00185798
         341     15.9625     15.9482  0.00185301
         342     15.9621     15.9482  0.00184804
         343      15.963     15.9483  0.00184315
         344     15.9646     15.9483  0.00183841
         345     15.9665     15.9484  0.00183384
         346      15.968     15.9484  0.00182942
         347     15.9694     15.9485  0.00182514
         348     15.9706     15.9485  0.00182101
         349      15.972     15.9486  0.00181703
         350     15.9733     15.9487   0.0018132
         351      15.974     15.9487  0.00180947
         352     15.9737     15.9488  0.00180571
         353     15.9725     15.9489  0.00180184
         354      15.971     15.9489  0.00179784
         355     15.9694      15.949   0.0017937
         356     15.9675     15.9491  0.00178941
         357     15.9656     15.9491    0.001785
         358     15.9638     15.9491  0.00178048
         359     15.9626     15.9492  0.00177592
         360     15.9623     15.9492  0.00177136
         361     15.9631     15.9493  0.00176686
         362     15.9642     15.9493  0.00176246
         363      15.965     15.9493  0.00175814
         364     15.9651     15.9494  0.00175384
         365     15.9653     15.9494  0.00174958
         366     15.9656     15.9495  0.00174536
         367     15.9666     15.9495  0.00174122
         368      15.968     15.9496  0.00173722
         369     15.9699     15.9496  0.00173339
         370     15.9721     15.9497  0.00172977
         371     15.9748     15.9497  0.00172643
         372     15.9775     15.9498   0.0017234
         373     15.9795     15.9499  0.00172062
         374     15.9799       15.95   0.0017179
         375     15.9783     15.9501  0.00171497
         376      15.975     15.9501  0.00171169
         377     15.9705     15.9502    0.001708
         378     15.9645     15.9502  0.00170391
         379     15.9585     15.9502  0.00169955
         380     15.9556     15.9503  0.00169514
         381     15.9569     15.9503  0.00169078
         382     15.9607     15.9503  0.00168657
         383     15.9646     15.9503  0.00168259
         384     15.9674     15.9504  0.00167879
         385     15.9689     15.9504  0.00167512
         386     15.9696     15.9505  0.00167152
         387     15.9696     15.9505  0.00166793
         388     15.9693     15.9506  0.00166433
         389     15.9689     15.9506  0.00166072
         390     15.9686     15.9507   0.0016571
         391     15.9685     15.9507  0.00165349
         392     15.9685     15.9508   0.0016499
         393     15.9689     15.9508  0.00164634
         394     15.9696     15.9509  0.00164285
         395     15.9708     15.9509  0.00163947
         396     15.9726      15.951  0.00163625
         397     15.9749      15.951  0.00163324
         398     15.9773     15.9511  0.00163046
         399     15.9778     15.9512  0.00162775
         400     15.9748     15.9512  0.00162475
         401      15.969     15.9513  0.00162131
         402     15.9655     15.9513  0.00161766
         403     15.9662     15.9513  0.00161407
         404     15.9669     15.9514  0.00161054
         405     15.9634     15.9514  0.00160684
         406     15.9588     15.9514  0.00160298
         407     15.9579     15.9514  0.00159912
